, ,제 53 기 1분기,Unnamed: 2,제 52 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,매출액,25319448,25319448,23987079,23987079
2,매출원가,21054138,21054138,20074417,20074417
3,매출총이익,4265310,4265310,3912662,3912662
4,판매비와관리비,3401534,3401534,3087791,3087791
5,영업이익,863776,863776,824871,824871
6,공동기업및관계기업투자손익,85819,85819,286703,286703
7,금융수익,249737,249737,246546,246546
8,금융비용,326151,326151,133344,133344
9,기타수익,449770,449770,298323,298323
10,기타비용,598683,598683,306298,306298
11,법인세비용차감전순이익,724268,724268,1216801,1216801
12,법인세비용,171586,171586,263016,263016
13,연결분기순이익,552682,552682,953785,953785
14,연결분기순이익의 귀속, , , , 
15,    지배기업소유주지분,463314,463314,829477,829477
16,    비지배지분,89368,89368,124308,124308
17,주당이익, , , , 
18,    기본주당이익 (단위 : 원), , , , 
19,        보통주 기본주당이익 (단위 : 원),1772,1772,3142,3142
20,        1우선주 기본주당이익 (단위 : 원),1784,1784,3154,3154
21,    희석주당이익 (단위 : 원), , , , 
22,        보통주 희석주당이익 (단위 : 원),1772,1772,3142,3142
23,        1우선주 희석주당이익 (단위 : 원),1784,1784,3154,3154
