, ,자본,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,지배기업의 소유주에게 귀속되는 자본,,,,,,비지배지분,자본 합계
1,,자본금,자본잉여금,기타자본항목,기타포괄손익누계액,이익잉여금,지배기업의 소유주에게 귀속되는 자본 합계,,
2,2019.01.01(기초자본),1488993,4201214,-1155244,-3051076,66490082,67973969,5922041,73896010
3,총포괄이익:, , , , , , , , 
4,연결분기순이익, , , , ,829477,829477,124308,953785
5,기타포괄손익-공정가치측정금융자산 관련 손익, , , ,-626,-32,-658,2075,1417
6,현금흐름위험회피파생상품평가손익, , , ,6698, ,6698,7591,14289
7,지분법평가, , , ,154872,-12108,142764,5185,147949
8,확정급여제도의 재측정요소, , , , ,1989,1989,-1451,538
9,해외사업환산손익 등, , , ,271519, ,271519,36664,308183
10,총포괄이익 소계, , , ,432463,819326,1251789,174372,1426161
11,자본에 직접 반영된 소유주와의 거래:, , , , , , , , 
12,배당, , , , ,-800301,-800301,-58403,-858704
13,종속기업의 증자, , , , , , ,1421,1421
14,종속기업의 처분, , , , , , ,-33068,-33068
15,자기주식 취득, , ,-233830, , ,-233830, ,-233830
16,기타변동분, ,-6303, , ,15,-6288,16212,9924
17,자본에 직접 반영된 소유주와의 거래 소계, ,-6303,-233830, ,-800286,-1040419,-73838,-1114257
18,2019.03.31(기말자본),1488993,4194911,-1389074,-2618613,66509122,68185339,6022575,74207914
19,2020.01.01(기초자본),1488993,4197015,-1516817,-2353022,68249633,70065802,6299952,76365754
20,총포괄이익:, , , , , , , , 
21,연결분기순이익, , , , ,463314,463314,89368,552682
22,기타포괄손익-공정가치측정금융자산 관련 손익, , , ,-335528,214,-335314,-3145,-338459
23,현금흐름위험회피파생상품평가손익, , , ,-110292, ,-110292,-47851,-158143
24,지분법평가, , , ,80653,7548,88201,6476,94677
25,확정급여제도의 재측정요소, , , , ,-30468,-30468,-357,-30825
26,해외사업환산손익 등, , , ,271122, ,271122,250965,522087
27,총포괄이익 소계, , , ,-94045,440608,346563,295456,642019
28,자본에 직접 반영된 소유주와의 거래:, , , , , , , , 
29,배당, , , , ,-790489,-790489,-103290,-893779
30,종속기업의 증자, , , , , , ,795,795
31,종속기업의 처분, , , , , , , , 
32,자기주식 취득, , ,-183756, , ,-183756, ,-183756
33,기타변동분, ,200, , ,605,805,-5222,-4417
34,자본에 직접 반영된 소유주와의 거래 소계, ,200,-183756, ,-789884,-973440,-107717,-1081157
35,2020.03.31(기말자본),1488993,4197215,-1700573,-2447067,67900357,69438925,6487691,75926616
