, ,제 53 기 1분기,제 52 기 1분기
0,영업활동으로 인한 현금흐름,822005,934990
1,    영업으로부터 창출된 현금흐름,1422953,1443369
2,        연결분기순이익,552682,953785
3,        조정,4071508,3410208
4,        영업활동으로 인한 자산·부채의 변동,-3201237,-2920624
5,    이자의 수취,107324,166591
6,    이자의 지급,-521721,-535641
7,    배당금의 수취,2125,10704
8,    법인세의 지급,-188676,-150033
9,투자활동으로 인한 현금흐름,-118154,-1331130
10,    단기금융상품의 순증감,642226,-1121670
11,    기타금융자산(유동)의 순증감,1680460,1389045
12,    기타금융자산(비유동)의 감소,2205,1223
13,    기타채권의 감소,16232,13173
14,    장기금융상품의 감소,245,84
15,    유형자산의 처분,17903,11560
16,    무형자산의 처분, ,2131
17,    종속기업의 취득,-50313, 
18,    기타금융자산(비유동)의 증가,-28976,-288992
19,    기타채권의 증가,-3881,-12290
20,    장기금융상품의 증가,-11876,-4512
21,    유형자산의 취득,-1128365,-1047311
22,    무형자산의 취득,-330940,-278677
23,    공동기업 및 관계기업투자의 취득,-910430,-46508
24,    기타 투자활동으로 인한 현금유출입액,-12644,51614
25,재무활동으로 인한 현금흐름,1037594,88830
26,    단기차입금의 순증감,-1414022,-602529
27,    장기차입금 및 사채의 차입,7959923,6135686
28,    종속기업의 증자,795,1421
29,    장기차입금 및 사채의 상환,-5252090,-5157336
30,    리스부채의 상환,-62840,-32544
31,    자기주식의 취득,-183756,-233830
32,    배당금의 지급,-3781,-3780
33,    기타 재무활동으로 인한 현금유출입액,-6635,-18258
34,현금및현금성자산의 환율변동효과,-49578,146372
35,현금및현금성자산의 증가(감소),1691867,-160938
36,기초의 현금및현금성자산,8681971,9113625
37,기말의 현금및현금성자산,10373838,8952687
